公園名稱,編號,裡別,面積,類別,座落位置,使用分區,維護管理單位,所在轄區,X座標(TW97),y座標(TW97)
公兒一,1104,,0.36,鄰里公園,,鄰里,楠西區公所,楠西區,197502.050000,2564234.240000
公(三),1105,,1.18,區域公園,,大型,學甲區公所,學甲區,166240.710000,2569916.960000
公(兒)二,1106,,0.6068,鄰里公園,,鄰里,學甲區公所,學甲區,165683.170000,2570738.980000
公(兒)1-1,1107,,0.2,鄰里公園,,鄰里,學甲區公所,學甲區,165482.280000,2570938.800000
公(兒)2-1,1108,,0.2,鄰里公園,,鄰里,學甲區公所,學甲區,165846.940000,2569801.230000
公(兒)2-5,1109,,0.39,鄰里公園,,鄰里,學甲區公所,學甲區,166110.750000,2569068.140000
公一,1110,,1.5,區域公園,,大型,公園管理二科,歸仁區,177220.990000,2536324.300000
公二,1111,,1.15,區域公園,,大型,公園管理二科,歸仁區,176789.100000,2536441.230000
公三,1112,,2.22,區域公園,,大型,公園管理二科,歸仁區,176993.360000,2535896.390000
公四,1113,,1.24,區域公園,,大型,公園管理二科,歸仁區,176598.320000,2536357.880000
公五,1114,,4.92,區域公園,,大型,公園管理二科,歸仁區,176247.690000,2536227.250000
公六,1115,,2.23,區域公園,,大型,公園管理二科,歸仁區,176851.140000,2535824.880000
公兒二,1116,,1.29,區域公園,,大型,公園管理二科,歸仁區,177007.830000,2536808.930000
公兒一,1117,,0.25,鄰里公園,,鄰里,公園管理二科,歸仁區,177112.160000,2536983.510000
公兒三,1118,,0.9,鄰里公園,,鄰里,公園管理二科,歸仁區,176701.840000,2536869.550000
公兒四,1119,,0.55,鄰里公園,,鄰里,公園管理二科,歸仁區,176033.930000,2536627.630000
公兒五,1120,,0.08,鄰里公園,,鄰里,公園管理二科,歸仁區,175863.340000,2536394.360000
公兒六,1121,,0.46,鄰里公園,,鄰里,公園管理二科,歸仁區,175785.340000,2536428.630000
公兒七,1122,,0.83,鄰里公園,,鄰里,公園管理二科,歸仁區,175577.090000,2535925.240000
公兒八,1123,,0.6,鄰里公園,,鄰里,公園管理二科,歸仁區,175791.270000,2535841.010000
公兒九,1124,,0.09,鄰里公園,,鄰里,公園管理二科,歸仁區,176187.740000,2535672.740000
大埤潭公園,1126,,25.1,區域公園,,大型,關廟區公所,關廟區,182369.320000,2539706.240000
關廟兒二,1127,,0.21,鄰里公園,,鄰里,關廟區公所,關廟區,181259.300000,2540963.400000
公一,1128,,1.17,區域公園,,大型,鹽水區公所,鹽水區,175273.710000,2579547.100000
公十八-一,1129,,1.01,區域公園,,大型,公園管理二科,鹽水區,175445.210000,2579664.290000
公十八-二,1130,,2.81,區域公園,,大型,公園管理二科,鹽水區,175558.790000,2580061.190000
公十八-四,1131,,1.52,區域公園,,大型,公園管理二科,鹽水區,175437.400000,2579352.360000
公二,1132,,0.89,鄰里公園,,鄰里,鹽水區公所,鹽水區,175031.140000,2579574.240000
公十五,1133,,0.2,鄰里公園,,鄰里,鹽水區公所,鹽水區,175744.810000,2580586.740000
公十七,1134,,0.61,鄰里公園,,鄰里,公園管理二科,鹽水區,175353.930000,2579513.250000
