統計年,縣市別,區域別,年底人口數,土地面積,人口密度
104,臺東縣,達仁鄉,3589,306.4454,12
104,臺東縣,金峰鄉,3586,380.6635,9
104,臺東縣,蘭嶼鄉,5045,48.3892,104
104,花蓮縣,花蓮市,105724,29.4095,3595
104,花蓮縣,鳳林鎮,11115,120.5181,92
104,花蓮縣,玉裡鎮,25013,252.3719,99
104,花蓮縣,新城鄉,20216,29.4095,687
104,花蓮縣,吉安鄉,83240,65.2582,1276
104,花蓮縣,壽豐鄉,18195,218.4448,83
104,花蓮縣,光復鄉,13219,157.11,84
104,花蓮縣,豐濱鄉,4541,162.4332,28
104,花蓮縣,瑞穗鄉,11926,135.5862,88
104,花蓮縣,富裡鄉,10633,176.3705,60
104,花蓮縣,秀林鄉,15666,1641.8555,10
104,花蓮縣,萬榮鄉,6420,618.491,10
104,花蓮縣,卓溪鄉,6037,1021.313,6
104,澎湖縣,馬公市,60924,33.9918,1792
104,澎湖縣,湖西鄉,14413,33.3008,433
104,澎湖縣,白沙鄉,9710,20.0875,483
104,澎湖縣,西嶼鄉,8417,18.7148,450
104,澎湖縣,望安鄉,5091,13.7824,369
104,澎湖縣,七美鄉,3749,6.9868,537
104,基隆市,中正區,52710,10.2118,5162
104,基隆市,七堵區,54060,56.2659,961
104,基隆市,暖暖區,38379,22.8283,1681
104,基隆市,仁愛區,45626,4.2335,10777
104,基隆市,中山區,48397,10.5238,4599
104,基隆市,安樂區,81329,18.025,4512
104,基隆市,信義區,51604,10.6706,4836
104,新竹市,東區,208142,33.5768,6199
104,新竹市,北區,149156,15.7267,9484
104,新竹市,香山區,76762,54.8491,1400
104,嘉義市,東區,122900,30.1556,4076
104,嘉義市,西區,147466,29.87,4937
104,金門縣,金城鎮,42344,21.713,1950
104,金門縣,金湖鎮,28402,41.696,681
104,金門縣,金沙鎮,20107,41.19,488
104,金門縣,金寧鄉,28833,29.854,966
104,金門縣,烈嶼鄉,12450,16.003,778
104,金門縣,烏坵鄉,663,1.2,553
104,連江縣,南竿鄉,7409,10.4,712
104,連江縣,北竿鄉,2333,9.9,236
104,連江縣,莒光鄉,1535,4.7,327
104,連江縣,東引鄉,1270,3.8,334
